ikun美食菜单/小黑子只因美食菜单/蔡徐坤/鸡你太美
https://pic.imgdb.cn/item/65764d90c458853aefa9ee42.png

鸡精炒粉 坤坤肏粉
珍德柿泥鸭 真的是你呀
香虾地鱼丸 想下地狱玩
烤乳鸽鸽 靠辱哥哥
小鸭(duck)子 小黑(dark)子
艾蒿馍馍 背带裤爱好打篮球
蒸馍不扶器 这么不服气
粥香锅鸡 走向国际
芝士香贝旺堡 只是想被网暴
荔枝虾球 理智下头
鸡泥太莓 只因你太美
粉丝蒸虾 粉丝真瞎
真蒸的鳗 真正的man
鸡泥太美 只因你太美
橘梨太美 只因你太美
荔枝酥山 理智速删
酒茶荔枝 就差理智
卤出鸡脚 露出鸡脚
香翅捞饭 想吃牢饭
香精煎鱼 想进监狱
香煎艾西柚 想进ICU
香汤艾西鱿 想躺ICU
梅家饺 没家教
蒸梅油夹饺 真没有家教
蒸梅油酥汁 真没有素质
泥干妈 你干嘛
蒸乌鱼 真无语
梅焦羊 没教养
梅素汁 没素质
人参公鸡 人身攻击
香贝旺堡 想被网暴
食不食油饼 是不是有病
食不食人 是不是人
食不食什锦饼 是不是神经病
荔枝 理智
醉好柿 最好是
纯露仁 纯路人
酥山 速删
柚冰 有病
烩签兔 毁前途
辣鸡酥山 垃圾速删
绿湿寒 律师函
绿湿寒精羔 律师函警告
蒸虾头 真下头
香菜凤仁鸡 想踩缝纫机
煲胫 报警
小黑子 黑粉
鸽鸽蛋 哥哥蛋
馍蒸 魔怔 
树汁 素质
饭法 犯法
臻果粉 真过分
蒸的烩蟹 真的会谢
梅树汁 没素质
葡杏腩 普信男
葡心腩 普信男
香翅紫蛋 想吃子弹
香贝旺爆 想被网暴
榛果粉 真过分
泥丸蛋辣 你完蛋啦
烩精鲣鱼 会进监狱
卤雏鸡脚 露出鸡脚
蚝丸 好玩
梅油焦羊 没有教养
香贝潘杏 想被判刑
香精芋圆子 想进狱园子
香虾地芋 想下地狱
香炖橘子 想蹲局子
香精橘子 想进局子
圣金饼 神经病
蒸鳄心 真恶心
馍蒸肋 魔怔了
鲤知 理智
梨汁 理智
栗子 理智
梨豸 理智
丽蜘 理智
鸡鲵苔梅 鸡你胎没
鸡肚 嫉妒
香煎盐旺 想见阎王
不燃紫砂 不然自杀
胛粉 假粉
钾粉 假粉
耗丸 好玩
油饼 有病
葡心楠蒸虾头 普信男真下头
煲筋 报警
仔黑酒紫砂 自黑就自杀
香炖鲣鱼 想蹲监狱
艾鲲 爱坤/ikun
坤巴 只因巴
菜虚鲲 蔡徐坤
闹鲲 闹鬼
鲲化危鸡 生化危机
鬼打鲲 鬼打墙
鲲山行 釜山行
塞尔维亚舞鲲 塞尔维亚舞女
闪鲲 闪现
小坤蚪 小蝌蚪
嚎啸马 好笑吗
坤鲫 鸡鲫
鱼乐泉 娱乐圈
鸡你太美 只因你太美
花生鱼 华晨宇
